,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,66.02,73,4,3.0,US,1623643294
1,nanortalik,60.1432,-45.2371,34.32,92,48,5.41,GL,1623644002
2,atuona,-9.8,-139.0333,79.11,81,85,22.88,PF,1623644003
3,kapaa,22.0752,-159.319,82.38,78,74,1.01,US,1623644004
4,qaanaaq,77.484,-69.3632,30.4,75,49,3.42,GL,1623644005
5,albany,42.6001,-73.9662,67.17,82,88,5.73,US,1623643835
6,rikitea,-23.1203,-134.9692,75.25,75,100,13.82,PF,1623643966
7,bredasdorp,-34.5322,20.0403,51.85,91,0,3.87,ZA,1623644009
8,kulhudhuffushi,6.6221,73.07,83.41,71,70,15.48,MV,1623644010
9,carnarvon,-24.8667,113.6333,71.67,57,2,16.11,AU,1623644011
10,biak,-0.9131,122.8766,80.31,77,90,5.95,ID,1623644012
11,faanui,-16.4833,-151.75,80.04,78,77,14.07,PF,1623643423
12,busselton,-33.65,115.3333,55.09,63,97,21.54,AU,1623644015
13,jamsa,61.8642,25.19,55.15,64,74,7.02,FI,1623644016
14,mareeba,-17.0,145.4333,83.44,65,37,1.45,AU,1623644018
15,vaini,-21.2,-175.2,77.16,83,40,9.22,TO,1623644019
16,ilulissat,69.2167,-51.1,37.42,75,90,4.61,GL,1623644020
17,khatanga,71.9667,102.5,40.15,91,100,15.84,RU,1623644022
18,hobart,-42.8794,147.3294,59.02,84,75,4.61,AU,1623643439
19,fredericksburg,38.3032,-77.4605,72.75,82,40,8.05,US,1623643795
20,pevek,69.7008,170.3133,39.11,73,100,7.7,RU,1623644025
21,mezen,65.8522,44.24,64.18,84,58,10.65,RU,1623644026
22,comodoro rivadavia,-45.8667,-67.5,42.48,63,99,14.58,AR,1623644027
23,punta arenas,-53.15,-70.9167,37.51,81,75,14.97,CL,1623644028
24,kavieng,-2.5744,150.7967,85.48,64,8,9.28,PG,1623644030
25,fairbanks,64.8378,-147.7164,67.23,58,88,1.99,US,1623643770
26,castro,-24.7911,-50.0119,45.03,97,2,4.12,BR,1623644032
27,norman wells,65.282,-126.8329,45.81,89,90,10.22,CA,1623644033
28,roebourne,-20.7833,117.1333,79.0,31,3,14.67,AU,1623644034
29,mataura,-46.1927,168.8643,49.48,92,98,3.29,NZ,1623644036
30,kaeo,-35.1,173.7833,65.32,89,93,6.91,NZ,1623644037
31,kharan,28.5833,65.4167,97.36,5,0,1.59,PK,1623644038
32,dunedin,-45.8742,170.5036,53.8,96,75,8.25,NZ,1623643808
33,hasaki,35.7333,140.8333,77.29,79,100,9.89,JP,1623644040
34,am timan,11.0297,20.2827,80.85,62,100,10.2,TD,1623644041
35,vestmannaeyjar,63.4427,-20.2734,43.38,78,100,5.88,IS,1623644043
36,bluff,-46.6,168.3333,49.8,87,98,4.21,NZ,1623644044
37,fortuna,40.5982,-124.1573,66.18,69,90,1.01,US,1623644046
38,saldanha,-33.0117,17.9442,53.1,84,45,6.08,ZA,1623644047
39,geraldton,-28.7667,114.6,70.12,68,40,14.97,AU,1623644049
40,ponca city,36.707,-97.0856,79.9,70,80,8.88,US,1623644050
41,praia da vitoria,38.7333,-27.0667,64.76,90,7,0.94,PT,1623644051
42,umuahia,5.5263,7.4896,72.18,98,93,1.28,NG,1623644052
43,nanga eboko,4.6833,12.3667,65.01,99,99,1.5,CM,1623644054
44,san patricio,28.017,-97.5169,82.24,81,3,8.03,US,1623644056
45,tuktoyaktuk,69.4541,-133.0374,34.11,98,100,9.24,CA,1623644057
46,ushuaia,-54.8,-68.3,30.83,89,91,5.32,AR,1623643718
47,mar del plata,-38.0023,-57.5575,61.0,83,73,1.99,AR,1623643460
48,nehe,48.4833,124.8333,82.72,45,100,14.9,CN,1623644060
49,ola,59.5833,151.2833,53.58,62,8,9.98,RU,1623644061
50,kenai,60.5544,-151.2583,64.02,64,0,12.82,US,1623644062
51,rosbach,50.8,7.6167,57.25,89,5,3.69,DE,1623644064
52,hilo,19.7297,-155.09,74.39,92,42,7.63,US,1623644058
53,taoudenni,22.6783,-3.9836,96.98,11,0,9.22,ML,1623644066
54,rumuruti,0.267,36.5389,54.18,82,60,1.48,KE,1623644067
55,almaznyy,48.0448,40.045,60.94,69,8,0.81,RU,1623644068
56,thinadhoo,0.5333,72.9333,82.51,73,91,7.85,MV,1623644069
57,blagoyevo,63.3667,47.9167,69.89,63,78,8.3,RU,1623644071
58,belaya gora,68.5333,146.4167,67.8,40,98,5.99,RU,1623644072
59,novoselitskoye,44.7508,43.4369,60.67,80,7,1.12,RU,1623644073
60,invermere,50.5167,-116.0354,69.55,68,18,1.99,CA,1623644075
61,prachuap khiri khan,12.2167,99.75,90.57,47,100,11.77,TH,1623644077
62,paraul,42.7419,47.3553,64.94,68,0,4.7,RU,1623644079
63,butaritari,3.0707,172.7902,82.4,76,31,9.6,KI,1623644080
64,georgetown,5.4112,100.3354,84.13,76,40,11.5,MY,1623643884
65,jizan,17.3333,42.6667,92.28,44,98,2.1,SA,1623643590
66,hambantota,6.1241,81.1185,81.43,74,100,20.58,LK,1623644083
67,salihorsk,52.7876,27.5415,53.56,96,98,12.68,BY,1623644084
68,karratha,-20.7377,116.8463,79.18,31,5,14.56,AU,1623644086
69,san cristobal,7.7669,-72.225,65.7,96,100,2.64,VE,1623644087
70,bisho,-32.8472,27.4422,51.57,85,13,5.23,ZA,1623644089
71,port alfred,-33.5906,26.891,59.5,88,79,13.0,ZA,1623643508
72,hualmay,-11.0964,-77.6139,64.6,83,1,7.76,PE,1623643357
73,esperance,-33.8667,121.9,55.24,67,56,29.37,AU,1623644094
74,dikson,73.5069,80.5464,32.38,99,100,10.74,RU,1623644097
